Title,Description
"California Chicken Spaghetti","Angel hair pasta is tossed with chicken and roma tomatoes in this simple but flavorful dish. The…"
"Parmesan Garlic Bread","Butter and Italian-style spices are blended with Parmesan cheese to make a great spread for…"
"Pesto Polenta Lasagna","Sliced polenta is layered with marinara sauce and pesto, and topped with mozzarella…"
"Classic Minestrone","This is a traditional minestrone complete with leeks and zucchini in a tomato soup base with…"
"Rich Italian Sausage and Potato Soup","Strips of kale, cream, and cooked sausage are added in the final stage to this potato soup…"
"Pasta e Fagioli I","Rich and savory, a wonderful soup, it can be a meal in itself, serve with garlic toast, its great!"
"Chicken and Bowtie Pasta with Asiago Cream Sauce","A tasty mix of chicken, garlic, mushrooms, and prosciutto tossed with bow tie pasta and a…"
"Italian Roast Beef I","Tender beef, seasoned with oregano, basil and garlic then boiled in beef bouillon. Can also…"
"Tofu Lasagna","Tofu is combined with eggs, spaghetti sauce, mozzarella cheese and spices. The mixture is…"
"Spaghetti Sauce","Quick and easy homemade spaghetti sauce with tomatoes, onions, garlic, basil and oregano. …"
"Fresh Tomato Shrimp Pasta","Fresh tomatoes and spinach, fresh herbs, and fresh mozzarella combine with shrimp and…"
"Michael's Foccacia Bread","This version of the classic is easy to make while remaining authentic and true to the original. …"
"Tomato Basil Salmon","This quick salmon dish is perfect for a weeknight dinner. Serve with a side of…"
"Bread Machine Calzone","The calzone dough is prepared in the bread machine, and then it's stuffed with Italian…"
"Elegant Orzo with Wilted Spinach and Pine Nuts","Orzo pasta with wilted spinach, feta cheese, tomatoes, and balsamic vinegar - goes well…"
"Asparagus Wrapped in Crisp Prosciutto","Extremely easy and elegant appetizer. Asparagus spears are wrapped in a sheath of…"
"Sausage-Stuffed Eggplant","A local winery/restaurant serves a stuffed eggplant appetizer that is so delicious. While…"
"Flounder Mediterranean","Flounder is baked in a Parmesan tomato sauce made with Italian herbs and seasonings,…"
"Zucchini Parmesan","The wonderful, complementary flavors of zucchini, onions and garlic are brought…"
"Pizza Crust for the Bread Machine II","Bread flour has a higher gluten content and so makes a durable dough that holds its own…"
"Italian Chicken Marinade","Italian dressing marinade is the prelude to a tasty grilled chicken."
"Ciabatta","Take five minutes today to make the starter, also called sponge, and tomorrow you can bake…"
"Cinnamon Sugar Biscotti","This is an Italian version of cinnamon toast. Everyone is sure to enjoy these!"
"Mom's Italian Beef Barley Soup","Cubed beef, barley, onion and tomato sauce are cooked in a slow cooker with water and beef…"
"Basic Microwave Risotto","If all the stirring, and stirring and stirring has discouraged you from making creamy risotto,…"
"Easy Italian Chicken II","Your favorite Italian-style salad dressing makes a simple but splendid marinade."
"Cheese Herb Bread","With this recipe, Parmesan bread, fragrant with oregano, basil and other herbs, is made easily…"
"Ricotta Cookies III","Light and fluffy ricotta cookies frosted with lemon icing."
"Pasta Salad","The veggies match the colors in the tri-colored pasta. And the dressing is real zesty and spicy.…"
"Ricardo's Pizza Crust","This herb laced pizza crust is mixed in the bread machine but baked in the oven. Add your…"
"Garlic Butter Sauce I","Fragrant garlic, sauteed in butter and seasoned with dried oregano and basil, makes a…"
"Baked Eggplant Parmesan","Eggplant slices are coated with bread crumbs and Parmesan cheese and baked between…"
"Nanny's Spaghetti Sauce","A splendid marinara is just minutes away when you simmer crushed tomatoes, tomato sauce…"
"Fresh Semolina and Egg Pasta","Fresh pasta is literally at your fingertips as you knead together flour, salt, eggs and olive oil to…"
"Jet Swirl Pizza Appetizers","Similar to meat-filled calzones, these cheesy little swirls were invented during football…"
"Coq au Vin alla Italiana","Take the usual coq au vin ingredients of chicken, vegetables and red wine, toss in loads of…"
"Best Ever Slow Cooker Italian Beef Roast","A tender, juicy pot roast needs just a few minutes to get ready before simmering for 6…"
"Slow Cooker Bolognese","The slow cooker takes the work and mess out of simmering an Italian-inspired Bolognese meat…"
"California Italian Wedding Soup","This is my variation of a standard recipe. I like fresh basil and a little lemon rind, so those are…"
"Instant Pot(R) Mushroom Risotto","An Instant Pot(R) pressure cooker makes it so easy and quick to make this creamy, cheesy…"
"Zucchini Pasta II","A thick sauce packed with zucchini and chicken is the perfect topping for a delicious summer…"
"Best Ever Party Appetizer","These little cheese bites are marinated overnight to bring out the full flavor of the…"
"Easy Spinach Lasagna with White Sauce","Use a ready-made Alfredo sauce to layer with spinach, egg and ricotta, carrots and…"
"Pasta Salad with Homemade Dressing","This colorful pasta salad is packed with vegetables, pepperoni, and cheese. Toss with…"
"Shrimp Florentine with Zoodles","Shrimp and spinach are cooked in a buttery sauce with zoodles (zucchini noodles) in this…"
"Twelve Minute Pasta Toss","This easy-to-prepare chicken pasta dish gets its delicious flavors from sun-dried tomatoes,…"
"Summer Lasagna","Zucchini takes the place of pasta in this recipe, making it lighter than a regular lasagna. It's…"
"Classic Lasagna","Make this classic lasagna recipe zestier by using hot Italian sausage or a little milder with…"
"Vegetarian Four Cheese Lasagna","Fresh pasta sheets baked with ricotta, feta, eggplant, tomato, pesto, pumpkin, Parmesan…"
"Hot Italian Giardiniera","A hot and tangy, pickled pepper and jalapeno topping for Italian beef sandwiches, sausages,…"
"Italian Creme Layer Cake","This moist cake is topped with coconut and pecans for a delicious and elegant dessert."
"Hoagie Dip","This mouth-watering dip tastes like a hoagie!"
"Carrie's Artichoke and Sun-Dried Tomato Pasta","Fresh pasta is tossed with a simple yet flavorful sauce of garlic, mushrooms, artichoke hearts,…"
"Tilapia Scaloppine","Tilapia, always quick and easy to cook, gets an Italian update with capers and fresh…"
"Balsamic Cream Sauce","The vinegar and cream go very well together. Best when sauteed chicken and asparagus is…"
"Savory Kale, Cannellini Bean, and Potato Soup","A savory kale, white bean, and potato soup, seasoned with fresh herbs, and one spicy red…"
"Chef John's Tomato Sauce","This is the sauce you want to use as a base for so many different dishes, add meat to, or flavor…"
"Baked Tomatoes Oregano","Ripe tomatoes are baked with Romano cheese, fresh bread crumbs, garlic and herbs."
"Chicken and Broccoli Pasta","Bite-sized bits of sauteed chicken meld with the fresh flavors of tomatoes and broccoli. Onion,…"
"Chef John's Spaghetti alla Carbonara","Spaghetti alla carbonara in its authentic form: peppery, creamy without using cream,…"
"Cheesy Stuffed Shells","This is a delicious baked pasta dish with large shells filled with meat, spinach and cheese…"
"Spinach Lasagna II","Use uncooked lasagna noodles to add to the easy preparation of this tasty casserole!…"
"Mediterranean Pasta","Chicken breast chunks flavored with bacon, artichoke hearts and herbs in a tomato sauce…"
"Spicy Italian Pork Cutlets","A delicious garlic and fresh tomato sauce covers tender pork cutlets. Serve with crusty bread, a…"
"Italian Sausage and Zucchini","A simple recipe for a quick dinner. Italian sausage is browned with summer squash,…"
"Make Ahead Manicotti","The secret to this marvelous manicotti is in the chill. After stuffing cooked pasta with a tasty…"
"Meat Filled Manicotti","A pleasing blend of ground beef, cottage cheese, mozzarella, Parmesan, egg whites and dried…"
"Simply Traditional Lasagna","A traditional lasagna, with about half the time and effort! I always cook extra to have…"
"Eggplant Rollatini","After having eggplant rollatine at a restaurant, and it was absolutely delicious! I decided that…"
"Spaghetti Cacio e Pepe","This Roman \"cheese and pepper\" spaghetti is a delicious side dish or simple dinner. It's a…"
"Instant Pot(R) Chicken Cacciatore","Make chicken cacciatore in the Instant Pot® for a super flavorful meal ready in minutes; your…"
"Northern Italian Beef Stew","This hearty beef stew packed with vegetables and herbs is a family favorite."
"Ziti with Italian Sausage","Ziti and Italian sausage baked with mushrooms, onion, celery, mozzarella and a simple tomato…"
"Pasta Siciliano","This wonderful and easy skillet pasta dish includes sun-dried tomatoes, olives, pine…"
"Caprese on a Stick","Serve your Caprese salad on toothpicks for a fun, easy appetizer. It takes just a few minutes…"
"Traditional Osso Buco","This recipe is a traditional but simple way of cooking Osso Buco (veal shanks). The white…"
"Cara's Creamy Stuffed Shells","This is a unique perspective to boring ground-beef stuffed shells. You and everyone will love…"
"Pesto Stuffed Pork Chops","Bone-in pork chops are stuffed with feta cheese, basil, and pine nuts and baked with a…"
"Stephan's Broiled Salmon Pesto","Fresh salmon fillets--or a whole side of salmon--is slathered in pesto and then broiled until a…"
"Italian Cream Cake II","Creamy Italian frosting and a light and fluffy cake with pecans and coconut create this…"
"Italian Sausage Soup II","A great soup for dinner, can be made as spicy as you like, and freezes wonderfully. Add freshly…"
"Kalamata Olive Tapenade","You don't need to use anchovies to make a delicious tapenade; try this recipe for…"
