Title,Description
"Chicken Tortilla Soup V","Lemon juice brightens the flavors in this chicken, corn and salsa soup seasoned with…"
"Slow Cooker Taco Soup","Browned ground beef seasoned with a package of taco seasoning is combined in a slow…"
"Delicious Black Bean Burritos","Onions, bell peppers and jalapenos are heated in a skillet. Black beans come next and then…"
"Black Bean and Salsa Soup","Black beans, salsa, veggie broth and cumin are tossed into the blender. Transfer to a pot and…"
"Slow Cooker Carnitas","Pork simmered in broth and seasonings makes a great filling for tamales and tacos in this slow…"
"Black Bean and Corn Quesadillas","These black bean and corn quesadillas are really cheesy, a little bit spicy, and a little bit sweet. …"
"Chicken Tortilla Soup I","This chicken tortilla soup is quick to make, flavorful, and filling, plus it freezes well.…"
"Spanish Rice II","Rice is sauteed with onion and green bell pepper, and then simmered with water,…"
"Slow Cooker Cilantro Lime Chicken","Chicken breasts, slow-cooked in Mexican-inspired cilantro-lime salsa, makes tasty taco…"
"Tres Leches (Milk Cake)","This light and fluffy tres leches cake recipe uses four types of milk and is topped with whipped…"
"Salsa Chicken Rice Casserole","Layers of rice, chicken, cheese, and a creamy salsa sauce are baked in an easy, flavorful…"
"Marinated Flank Steak","Flank steak is marinated in a flavorful blend of soy sauce, red wine vinegar, and…"
"Cottage Cheese Chicken Enchiladas","Cottage cheese lends a lighter texture to chicken and cheese enchiladas, bathed in classic red…"
"Southwestern Egg Rolls","An assortment of traditional Southwestern-style ingredients are wrapped inside small flour…"
"Spicy Bean Salsa","Also known as 'cowboy caviar', this twist on traditional salsa is enlivened with black…"
"Ten Minute Enchilada Sauce","A super speedy enchilada sauce with a truly authentic taste."
"Chicken Enchiladas V","A spicy chicken and chile pepper mixture is blended with a creamy soup mixture, rolled…"
"Spinach Enchiladas","If you like spinach and Mexican food, you'll love these easy vegetarian enchiladas made with…"
"Homemade Flour Tortillas","This homemade flour tortilla recipe produces warm and soft tortillas perfect for soft tacos or…"
"Fabulous Wet Burritos","Flour tortillas are filled with a mixture of ground beef, refried beans, and chiles then topped…"
"Absolute Mexican Cornbread","This has got to be the tastiest and the most moist cornbread I have ever made. It is the…"
"Chipotle Crusted Pork Tenderloin","Sweet and spicy rub for pork tenderloins. Just coat, let stand for 20 minutes and grill! Goes…"
"Charley's Slow Cooker Mexican Style Meat","A hot and spicy chuck roast that can be made into burritos, tacos, or any number of other…"
"Pollo Fajitas","Fajitas at home! Chicken briefly steeps in a zesty marinade before a saute with onions and…"
"Taqueria Style Tacos - Carne Asada","This is a great recipe for authentic Mexican taqueria style carne asada tacos (beef tacos).…"
"Beef and Bean Chimichangas","This is an awesome recipe, if you like Mexican food! These tasty beef and bean treats are…"
"Easy Chicken Enchiladas","This is a great recipe for a quick dinner. There aren't many ingredients and doesn't take a lot…"
"Beer Margaritas","Who would believe that beer would be the perfect solution to eradicating fluorescent…"
"D's Famous Salsa","You can make this salsa as fiery as you like by adding more or less peppers. But whatever…"
"Chicken Quesadillas","Zesty chicken and cooked peppers are a tasty delight when mixed with cheese and stuffed…"
"Mexican Rice III","This is an excellent authentic Mexican rice recipe (not to be confused with Spanish rice) that I…"
"Grilled Fish Tacos with Chipotle-Lime Dressing","Marinated tilapia fillets are grilled instead of fried in this tangy, flavorful twist on fish tacos."
"Chili Rellenos Casserole","This Chili Rellenos Casserole is very easy to prepare and is loaded with flavor. Great for a…"
"Avocado, Tomato and Mango Salsa","Looking for a refreshing salsa for a warm summer evening? This is our favorite. Serve…"
"Terrific Turkey Chili","This quick turkey chili recipe using zucchini, green onion, sour cream, and cheddar cheese…"
"Mexican Casserole","Chicken breast simmered with a spicy black bean and corn mixture, then topped with…"
"Beef Enchiladas II","Simple and quick beef enchiladas. Ground beef and onion are wrapped in flour tortillas,…"
"Amy's Cilantro Cream Sauce","A spicy light green sauce fragrant with cilantro. Refreshing."
"Tacos in Pasta Shells","Jumbo pasta shells stuffed with a rich, spicy blend of cooked ground beef, cream cheese,…"
"Mexican Baked Fish","Make this Mexican baked fish as hot or mild as you like. Serve with rice, black beans, warm…"
"Pico de Gallo Chicken Quesadillas","Pico de gallo combines with Jack cheese and a saute of chicken, onion and green pepper to…"
"Easy Guacamole","A simple go-to guacamole recipe that makes you beg for more. Try it if you're learning how to…"
"Quick and Easy Green Chile Chicken Enchilada Casserole","Shredded chicken is layered with charred tortillas, sour cream, cheese, and enchilada…"
"Ground Beef Enchiladas","These are beef filled tortilla shells baked in a creamy chicken soup and cheese sauce. My…"
"Beef Nacho Casserole","A simple meal to whip up in less than an hour that even the kids are sure to love. Layers of…"
"Fiery Fish Tacos with Crunchy Corn Salsa","Spicy grilled fish are cooled down with a fresh crunchy veggie salsa featuring fresh corn. Your…"
"Slow Cooker Enchiladas","An old Mexican classic with a new twist. Anytime we have a potluck, I am asked to bring these.…"
"Red Enchilada Sauce","Tomato sauce is simmered with sauteed onion, salsa, and herbs, including cumin and…"
"Salsa Chicken Burrito Filling","Chicken simmered with tomato sauce, salsa and seasonings - a great standard burrito filling."
"Fajita Seasoning","Use this recipe as a DIY replacement for a prepared packet of fajita seasoning."
"Quick and Easy Mexican Chicken","Seasoned chicken bakes under a crown of salsa and cheese. Served over rice or buttered…"
"Seven Layer Tortilla Pie","Southwest cooking at its best. Two different kinds of beans are zipped up with picante…"
"Apple Enchilada Dessert","Apples rolled in flour tortillas. VERY delicious, easy and fast to make. Substitute apples with…"
"Layered Chicken and Black Bean Enchilada Casserole","Layers of sauce and tortillas mingle with a seasoned chicken and black bean mixture.…"
"Fajita Marinade I","Delicious fajita marinade made with lime juice, olive oil, and soy sauce, and spiced up with…"
"Best Black Beans","This simple black beans recipe works well with your favorite rice as a side dish for Mexican…"
"Outrageous Warm Chicken Nacho Dip","Shredded chicken, tomatoes, and jalapeno peppers join Velveeta® in this addictive dip."
"Tater Tot Taco Casserole","This recipe gives you a Mexican-style version of tater tot casserole."
"Lime Cilantro Rice","Provide some flair to your rice by adding lime zest, lime juice, and cilantro."
"Churros","These sweet Mexican fritters are easy to make at home!"
"Southwest Chicken","Healthy and hearty, chicken simmers with tomatoes, black beans and corn."
"Vegetarian Tortilla Soup","Simple and delicious. It's also vegan if you don't add the cheese at the end. If you prefer a…"
"Sweet Corn Cake","Corn flour, or masa harina, is available at many larger grocers. Here it blends with corn meal,…"
"Fresh Tomato Salsa","Finely chopped Serrano chilies make this salsa nippy and nice. Combine with tomatoes,…"
"Chicken Enchilada Casserole II","Strata of tortillas, chicken, cheese and a hot salsa-bean-sour cream mixture make these…"
"Sopapilla Cheesecake Dessert","Cream cheese, canned crescent rolls, cinnamon, and almonds create this delicious,…"
"Mexican Chicken Corn Chowder","This creamy chicken and corn chowder, made spicy with ground cumin, green chilies, and…"
"Enchiladas Suizas","Corn tortillas rolled up with shredded chicken and 2 kinds of cheese, and then served with a…"
"Chicken Fiesta Salad","Salad greens, onions and tomatoes are topped with Mexican flavored black beans, corn, and…"
"Whit's Chicken Enchiladas","Wonderful, cheesy chicken enchiladas that are easy to prepare. Everyone I have made these…"
"Best Guacamole","For chips or a taco topping, guacamole--enhanced with lemon and onion--is a forever…"
"Make Ahead Lunch Wraps","These are a delicious make-ahead lunch to freeze as a handy lunch to bring to work! Just…"
"Hot Bean Dip","This bean dip is sooooo good. It is easy to make and is always a hit. I make it for my Super…"
"Sour Cream Chicken Enchiladas","Plenty of heat to fire you up in these cheesy chicken enchiladas with salsa and jalapenos.…"
"Nacho Cheese Sauce","Here's a simple cheese sauce to spread over tortilla chips. Add some jalapenos to spice…"
"Margaritas","Frozen margaritas are made with limeade concentrate, tequila, triple sec, and ice."
"Chicken Chimichangas with Sour Cream Sauce","Green chiles and Monterey Jack cheese make these chimichangas special."
"Seven Layer Dip I","This is a great party dip because it's best served at room temperature. You can set it out on the…"
