Title,Description
"Indian Peanut Stew","This is an easy, authentic dish from South Asia that appeals to a wide range of tastes. The…"
"Roomali Roti","There is no leavening in this simple, tender Indian flatbread of bread flour, oil, salt and…"
"Spicy Sweet Potato Salad","It's important to use good mayonnaise in this recipe, and to let the cooked potatoes chill…"
"Chicken Saag","The classic Indian chicken and spinach dish gets richness from sour cream."
"Paleo Slow Cooker Pork Loin","Boneless pork loin slowly cooks in a curried fruit sauce until tender and delicious."
"Bombay Chicken and Rice","Chicken parts are brushed with a butter and curry mixture and baked in a mixture of rice,…"
"Indian Carrots, Peas and Potatoes","Potatoes, peas and carrots are cooked with Indian spices for an easy yet exotic side dish."
"Wendy's Indian Butter Chicken","This recipe resembles a dish from an Indian restaurant in my town. I love it. It's got a great…"
"Indian Chickpeas","Garbanzo beans, onions, and spices are simmered together in this typical Northern…"
"Dal Makhani (Indian Lentils)","These richly spiced lentils are simmered for two hours in a spicy tomato sauce and finished…"
"Raita","Chopped tomatoes and cucumbers are tossed with a sour cream, yogurt, garlic and cumin…"
"Yogurt-Marinated Salmon Fillets (Dahi Machhali Masaledar)","A yogurt-based marinade with cayenne pepper, ginger and garlic spice up your salmon fillets…"
"Indian-Spiced Roasted Chickpeas","Spicy roasted chickpeas are crisp, spicy little nibbles. This is one snack that you can feel…"
"Cauliflower and Tofu Masala","Pressed tofu cubes are baked with a yogurt and spice sauce, then simmered with cauliflower…"
"Channa Masala (Chickpea Curry)","This fantastic Indian vegetarian curry recipe is great with Indian-style breads or rice."
"Bengali Chicken Curry with Potatoes","Thy this delicious and authentic recipe for chicken and potato curry with cayenne…"
"Indian Sweet Bread","A crisp and sweet flatbread that's fried on the griddle."
"Rosy's Palak Paneer","An Indian friend of mine showed me the ropes for cooking this delicious and completely…"
"Roti Bread from India","This version of the delicate Indian flatbread uses durum wheat flour - the kind often used to…"
"Indian Vegetable Rice","Basmati rice enhanced with the flavors of jeera (cumin), garam masala, mixed vegetables and…"
"Aloo Gobi Masala (Cauliflower and Potato Curry)","This is a traditional Indian cauliflower and potato curry recipe."
"Tandoori Fish","This fish curry recipe works well with catfish, tilapia, or orange roughy. As with all Indian…"
"Punjabi Chicken in Thick Gravy","Chicken legs simmer in a thick curry sauce for a delicious dinner with just the right amount of…"
"Pumpkin Curry with Lentils and Apples","East meets West in this inspired curry dish combining fresh pumpkin with lentils, carrots,…"
"Aloo Gobi","Traditional Indian dish made of spiced cauliflower and potatoes. This dish is steamed…"
"Spicy Peach Chutney","This chutney closely resembles imported Indian chutneys and is good with all curry dishes. It…"
"Naan Bread","A yeast-raised South Asian flatbread with a delicious chewy texture."
"Potatoes Madras","Great for dinner parties, this colorful and flavorful dish is inspired by southern Indian…"
"Steve's Chicken Korma","Always a favorite, this version of the classic chicken curry from North India is made…"
"Roasted Curried Chicken with Couscous","A great blend of exciting and subtle flavors are infused into a whole chicken during cooking."
"Kashmiri-Style Kidney Beans with Turnips","This flavorful recipe is a winter staple in Kashmir."
"Maharaja Curry","Chicken is simmered in an onion-tomato sauce in this really nice Indian recipe, taught to me…"
"Curried Chicken and Rice Salad","This is a crunchy chicken and rice salad with an East Indian influence."
"Slow Cooker Chicken Curry with Quinoa","Chicken, quinoa, and apples, combine in this tasty, easy curry!"
"Vegetable Biryani","This is a tasty and interesting vegetable biryani. The color looks appetizing and the taste is…"
"Chicken Hariyali Tikka","Chicken breast meat is rubbed with an intoxicating paste made with cilantro, mint,…"
"Easy Chickpea Curry","A rich chickpea and potato curry with coconut milk and Indian spices is surprisingly easy to…"
"Kashmiri Lamb","This lamb curry features green and red chiles, dried coconut, and almonds in a…"
"Rajma (Kidney Bean Curry)","This delicious vegetarian stew is made in the pressure cooker, using dried kidney beans…"
"Pantry Curried Quinoa with Garbanzo Beans and Roasted Peppers","Pantry staples like canned garbanzo beans, quinoa, roasted red peppers, and dried herbs…"
"Indian Vegetable Bhaji","In this Indian dry curry, potatoes, cauliflower, carrots and peas are fried and flavored with…"
"Slow Cooker Chicken Tikka Masala","Everyone's favorite Indian take-out dish comes together in a slow cooker for an easy way to…"
"Lamb Madras Curry","This amazing curry is made by simmering lamb in a homemade curry paste. It takes time, but…"
"Strawberry Lassi","First popular in Punjab, India, and originally sometimes flavored with ground cumin,…"
"Basic Curry Sauce","Fragrant and rich, this sauce includes spices like coriander, cumin and turmeric with the…"
"Shahi Paneer","This delightful recipe for cubes of paneer in a tomato-cream sauce is sure to be a nice treat."
"Sweet and Spicy Curry with Chickpeas","An easy curry of turkey and garbanzo beans simmers with coconut milk and bottled…"
"Apple Chutney","This easy chutney is a great companion for so many dishes from turkey sandwiches to pork…"
"Garam Masala Seared Salmon with Coconut-Curry Butter","Salmon fillets are dusted with garam masala, seared for a crispy crust, then served with a…"
"Roasted Grapes and Carrots","Grapes and carrots are tossed with cumin and roasted to create this Indian dish I had while…"
"Chicken Biryani, Hyderabadi Style","A trademark of home-cooking in southern India, this luscious chicken dish is an authentic…"
"Cucumber Peanut Salad","This is a fresh and delicious cucumber salad tossed with lemon, cumin, cilantro, and…"
"Gulab Jamun","This is a traditional Indian dessert. Spongy milky balls soaked in rose scented syrup.…"
"Beef and Spinach Curry","Beef, spinach, tomatoes, and coconut milk are simmered together with a variety of spices,…"
"Mild Curry Powder","A fragrant yellow curry powder to use in soups, sauces, rice, and anything else you can think of!"
"Green Chutney","This is a very tasty cilantro-based chutney that can be prepared in minutes. Just add fresh…"
"Easy Veggie Samosas","Quick vegetarian samosas with a curried garbanzo bean filling. You can adjust the…"
"Bunjal Chicken","Steamed chicken is blanketed in a garlic-tomato-curry sauce flavored with garam…"
"Jorge's Indian-Spiced Tomato Lentil Soup","Tomato lentil soup seasoned with Indian spices is a warm and comforting meal that pairs…"
"Spicy Lentil Dip","You boil lentils, then blend them until smooth to make this pungent puree; curry-scented…"
"Cilantro Jalapeno Pesto with Lime","This is a spicy alternative to classic basil pesto. Add to pasta, fish, or chicken dishes as you…"
"Red Kidney Beans (Rajma)","Enjoy this Indian recipe for rajma (red kidney beans) with jeera (cumin) rice. You can spice…"
"Curried Chicken and Potatoes","This is a hearty meal of chicken and potatoes simmered with Indian spices, tomatoes, Swiss…"
"Mango-Pineapple Chutney","The sweetness of mango, pineapple and red pepper is given a zing from fresh ginger and a…"
"Delicious Chana Masala","A delicious traditional vegetarian Indian dish of chickpeas, onions, and tomatoes you can…"
"Beef Vindaloo","This make-ahead vindaloo recipe is a guaranteed crowd pleaser and will convert…"
"Spicy Chicken Curry","The special curry compound known as garam masala is the key to this vigorous chicken,…"
