Title,Description,label
Myree's Chicken Madras,There is nothing quite like authentic Indian food prepared using a traditional recipe This dish is a must for those of you who enjoy a good old curry You can cook this curry in the morning and leave it to infuse ,indian
Chicken Jalfrezi slow cooker,This is really simple with no need to marinate Can make it as hot as you want - although Jalfrezi is normally medium hot Just put all the ingredients in the slow cooker and enjoy the smells throughout the ,indian
Fruity chicken curry,A delicious but simple fruity curry recipe Serves two hungry people,indian
Slow cooked chicken korma ,"This mild, delicately fragrant curry has a rich creamy sauce that sure to be a winner Serve with plain boiled rice or warm naan bread",indian
Quick vegetable curry,"A quick, healthy and comforting supper fix after a long day's work Serve with rice or naan Also great as a jacket potato topping",indian
Easy chicken curry,"Using a good-quality curry powder or paste takes all the work out of making this fabulous dish For the best flavour, make it a day ahead and reheat",indian
Baked onion bhajis,"A healthier alternative to the deep-fried onion bhajis you find in Indian restaurants These are baked and exceedingly tasty They are sweet, tender and very moreish Serve as an appetiser or starter",indian
Fluffy Naan Bread,"If you're looking for a fluffy and chewy naan bread recipe, this is it This recipe is quick and easy to make and tastes fantastic alongside any Indian curry",indian
Spiced onions,This is a tasty starter that can be found in every Indian restaurant around the West of Scotland I’ve tried loads of recipes but this one really hits the spot in terms of authenticity in relation to the best of restaurant ,indian
Masoor dhal curry,"This is a rich and hearty vegetarian lentil curry, great as a main rather than as a side Don't be discouraged by the ingredients list; this dish is easy dish to make, and great served with basmati rice",indian
Ultimate chicken curry,I have worked long hard and lovingly to perfect my chicken curry and believe that this is as good as it gets Hope you enjoy it as much as we do,indian
Murgh kari (Indian chicken curry with tomatoes and yoghurt),"This is a simple, but really good recipe for a spicy Indian chicken curry You can make this curry dairy-free by substituting the yogurt with coconut milk Serve over freshly cooked rice",indian
Indian lamb or beef keema,"Mince is an all-time useful standby – quick to cook and adaptable This keema is a fast, spicy way to pep it up for a quick midweek meal",indian
Chicken makhani (Indian butter chicken),Chicken makhani is one of my favourite Indian dishes It is a full flavoured dish that complements the chicken well It can be made as mild or spicy as you wish by adjusting the cayenne Serve with basmati rice and ,indian
Quick white fish curry,"This light, creamy curry makes a luxurious meal served with a basmati rice Make it as mild or spicy as you like",indian
Chickpea curry,Chickpeas are simmered in a fragrant and spicy curry sauce and garnished with fresh coriander Serve with rice for a great vegetarian midweek meal,indian
